30.06.2013 19:17:31: Starting interval: 3600 jobs during 3600 seconds
30.06.2013 19:17:31: second 0, jobs that second 0, active requests: 0
30.06.2013 19:19:10: second 99, jobs that second 0, active requests: 0
30.06.2013 19:19:11: second 100, jobs that second 0, active requests: 0
30.06.2013 19:19:12: second 101, jobs that second 2, active requests: 0
30.06.2013 19:19:13: second 102, jobs that second 0, active requests: 1
30.06.2013 19:19:14: second 103, jobs that second 0, active requests: 0
30.06.2013 19:19:15: second 104, jobs that second 0, active requests: 0
30.06.2013 19:19:16: second 105, jobs that second 2, active requests: 0
30.06.2013 19:19:17: second 106, jobs that second 0, active requests: 1
30.06.2013 19:19:18: second 107, jobs that second 2, active requests: 0
30.06.2013 19:19:19: second 108, jobs that second 0, active requests: 1
30.06.2013 19:19:20: second 109, jobs that second 1, active requests: 0
30.06.2013 19:19:21: second 110, jobs that second 0, active requests: 0
30.06.2013 19:19:22: second 111, jobs that second 0, active requests: 0
30.06.2013 19:19:23: second 112, jobs that second 1, active requests: 0
30.06.2013 19:19:24: second 113, jobs that second 1, active requests: 0
30.06.2013 19:19:25: second 114, jobs that second 0, active requests: 0
30.06.2013 19:19:26: second 115, jobs that second 0, active requests: 0
30.06.2013 19:19:27: second 116, jobs that second 1, active requests: 0
30.06.2013 19:19:28: second 117, jobs that second 1, active requests: 0
30.06.2013 19:19:29: second 118, jobs that second 0, active requests: 0
30.06.2013 19:19:30: second 119, jobs that second 0, active requests: 0
30.06.2013 19:19:31: second 120, jobs that second 1, active requests: 0
30.06.2013 19:19:32: second 121, jobs that second 0, active requests: 1
30.06.2013 19:19:33: second 122, jobs that second 0, active requests: 0
30.06.2013 19:19:34: second 123, jobs that second 0, active requests: 0
30.06.2013 19:19:35: second 124, jobs that second 0, active requests: 0
30.06.2013 19:19:36: second 125, jobs that second 4, active requests: 0
30.06.2013 19:19:37: second 126, jobs that second 1, active requests: 1
30.06.2013 19:19:38: second 127, jobs that second 3, active requests: 0
30.06.2013 19:19:39: second 128, jobs that second 1, active requests: 0
30.06.2013 19:19:40: second 129, jobs that second 1, active requests: 1
30.06.2013 19:19:41: second 130, jobs that second 1, active requests: 0
30.06.2013 19:19:42: second 131, jobs that second 2, active requests: 1
30.06.2013 19:19:43: second 132, jobs that second 1, active requests: 0
30.06.2013 19:19:44: second 133, jobs that second 0, active requests: 0
30.06.2013 19:19:45: second 134, jobs that second 0, active requests: 0
30.06.2013 19:19:46: second 135, jobs that second 1, active requests: 0
30.06.2013 19:19:47: second 136, jobs that second 1, active requests: 0
30.06.2013 19:19:48: second 137, jobs that second 1, active requests: 0
30.06.2013 19:19:49: second 138, jobs that second 1, active requests: 0
30.06.2013 19:19:50: second 139, jobs that second 2, active requests: 1
30.06.2013 19:19:51: second 140, jobs that second 1, active requests: 1
30.06.2013 19:19:52: second 141, jobs that second 0, active requests: 0
30.06.2013 19:19:53: second 142, jobs that second 0, active requests: 0
30.06.2013 19:19:54: second 143, jobs that second 1, active requests: 0
30.06.2013 19:19:55: second 144, jobs that second 1, active requests: 0
30.06.2013 19:19:56: second 145, jobs that second 0, active requests: 0
30.06.2013 19:19:57: second 146, jobs that second 1, active requests: 0
30.06.2013 19:19:58: second 147, jobs that second 1, active requests: 0
30.06.2013 19:19:59: second 148, jobs that second 1, active requests: 0
30.06.2013 19:20:00: second 149, jobs that second 1, active requests: 0
30.06.2013 19:20:01: second 150, jobs that second 1, active requests: 1
30.06.2013 19:20:02: second 151, jobs that second 0, active requests: 0
30.06.2013 19:20:03: second 152, jobs that second 3, active requests: 0
30.06.2013 19:20:04: second 153, jobs that second 0, active requests: 1
30.06.2013 19:20:05: second 154, jobs that second 0, active requests: 0
30.06.2013 19:20:06: second 155, jobs that second 0, active requests: 0
30.06.2013 19:20:07: second 156, jobs that second 2, active requests: 0
30.06.2013 19:20:08: second 157, jobs that second 2, active requests: 0
30.06.2013 19:20:09: second 158, jobs that second 1, active requests: 0
30.06.2013 19:20:10: second 159, jobs that second 2, active requests: 1
30.06.2013 19:20:11: second 160, jobs that second 1, active requests: 1
30.06.2013 19:20:12: second 161, jobs that second 0, active requests: 0
30.06.2013 19:20:13: second 162, jobs that second 1, active requests: 0
30.06.2013 19:20:14: second 163, jobs that second 2, active requests: 1
30.06.2013 19:20:15: second 164, jobs that second 2, active requests: 0
30.06.2013 19:20:16: second 165, jobs that second 0, active requests: 0
30.06.2013 19:20:17: second 166, jobs that second 1, active requests: 0
30.06.2013 19:20:18: second 167, jobs that second 2, active requests: 1
30.06.2013 19:20:19: second 168, jobs that second 1, active requests: 1
30.06.2013 19:20:20: second 169, jobs that second 0, active requests: 0
30.06.2013 19:20:21: second 170, jobs that second 0, active requests: 0
30.06.2013 19:20:22: second 171, jobs that second 3, active requests: 0
30.06.2013 19:20:23: second 172, jobs that second 1, active requests: 1
30.06.2013 19:20:24: second 173, jobs that second 2, active requests: 0
30.06.2013 19:20:25: second 174, jobs that second 2, active requests: 0
30.06.2013 19:20:26: second 175, jobs that second 0, active requests: 1
30.06.2013 19:20:27: second 176, jobs that second 1, active requests: 0
30.06.2013 19:20:28: second 177, jobs that second 0, active requests: 0
30.06.2013 19:20:29: second 178, jobs that second 0, active requests: 0
30.06.2013 19:20:30: second 179, jobs that second 2, active requests: 0
30.06.2013 19:20:31: second 180, jobs that second 1, active requests: 1
30.06.2013 19:20:32: second 181, jobs that second 0, active requests: 0
30.06.2013 19:20:33: second 182, jobs that second 2, active requests: 0
30.06.2013 19:20:34: second 183, jobs that second 0, active requests: 0
30.06.2013 19:20:35: second 184, jobs that second 0, active requests: 0
30.06.2013 19:20:36: second 185, jobs that second 0, active requests: 0
30.06.2013 19:20:37: second 186, jobs that second 1, active requests: 0
30.06.2013 19:20:38: second 187, jobs that second 0, active requests: 0
30.06.2013 19:20:39: second 188, jobs that second 0, active requests: 0
30.06.2013 19:20:40: second 189, jobs that second 0, active requests: 0
30.06.2013 19:20:41: second 190, jobs that second 1, active requests: 0
30.06.2013 19:20:42: second 191, jobs that second 0, active requests: 0
30.06.2013 19:20:43: second 192, jobs that second 1, active requests: 0
30.06.2013 19:20:44: second 193, jobs that second 1, active requests: 1
30.06.2013 19:20:45: second 194, jobs that second 1, active requests: 0
30.06.2013 19:20:46: second 195, jobs that second 3, active requests: 1
30.06.2013 19:20:47: second 196, jobs that second 0, active requests: 0
30.06.2013 19:20:48: second 197, jobs that second 0, active requests: 0
30.06.2013 19:20:49: second 198, jobs that second 0, active requests: 0
30.06.2013 19:20:50: second 199, jobs that second 1, active requests: 0
30.06.2013 19:20:51: second 200, jobs that second 0, active requests: 0
30.06.2013 19:20:52: second 201, jobs that second 2, active requests: 0
30.06.2013 19:20:53: second 202, jobs that second 0, active requests: 0
30.06.2013 19:20:54: second 203, jobs that second 1, active requests: 0
30.06.2013 19:20:55: second 204, jobs that second 1, active requests: 1
30.06.2013 19:20:56: second 205, jobs that second 1, active requests: 0
30.06.2013 19:20:57: second 206, jobs that second 1, active requests: 1
30.06.2013 19:20:58: second 207, jobs that second 1, active requests: 0
30.06.2013 19:20:59: second 208, jobs that second 0, active requests: 0
30.06.2013 19:21:00: second 209, jobs that second 1, active requests: 0
30.06.2013 19:21:01: second 210, jobs that second 1, active requests: 0
30.06.2013 19:21:02: second 211, jobs that second 1, active requests: 0
30.06.2013 19:21:03: second 212, jobs that second 1, active requests: 0
30.06.2013 19:21:04: second 213, jobs that second 4, active requests: 0
30.06.2013 19:21:05: second 214, jobs that second 4, active requests: 2
30.06.2013 19:21:06: second 215, jobs that second 1, active requests: 0
30.06.2013 19:21:07: second 216, jobs that second 1, active requests: 0
30.06.2013 19:21:08: second 217, jobs that second 1, active requests: 1
30.06.2013 19:21:09: second 218, jobs that second 3, active requests: 0
30.06.2013 19:21:10: second 219, jobs that second 0, active requests: 2
30.06.2013 19:21:11: second 220, jobs that second 0, active requests: 0
30.06.2013 19:21:12: second 221, jobs that second 2, active requests: 0
30.06.2013 19:21:13: second 222, jobs that second 0, active requests: 0
30.06.2013 19:21:14: second 223, jobs that second 0, active requests: 0
30.06.2013 19:21:15: second 224, jobs that second 0, active requests: 0
30.06.2013 19:21:16: second 225, jobs that second 1, active requests: 0
30.06.2013 19:21:17: second 226, jobs that second 1, active requests: 0
30.06.2013 19:21:18: second 227, jobs that second 0, active requests: 0
30.06.2013 19:21:19: second 228, jobs that second 3, active requests: 0
30.06.2013 19:21:20: second 229, jobs that second 0, active requests: 2
30.06.2013 19:21:21: second 230, jobs that second 1, active requests: 0
30.06.2013 19:21:22: second 231, jobs that second 1, active requests: 0
30.06.2013 19:21:23: second 232, jobs that second 1, active requests: 1
30.06.2013 19:21:24: second 233, jobs that second 1, active requests: 0
30.06.2013 19:21:25: second 234, jobs that second 0, active requests: 0
30.06.2013 19:21:26: second 235, jobs that second 3, active requests: 0
30.06.2013 19:21:27: second 236, jobs that second 2, active requests: 0
30.06.2013 19:21:28: second 237, jobs that second 2, active requests: 1
30.06.2013 19:21:29: second 238, jobs that second 1, active requests: 1
30.06.2013 19:21:30: second 239, jobs that second 0, active requests: 0
30.06.2013 19:21:31: second 240, jobs that second 0, active requests: 0
30.06.2013 19:21:32: second 241, jobs that second 3, active requests: 0
30.06.2013 19:21:33: second 242, jobs that second 0, active requests: 0
30.06.2013 19:21:34: second 243, jobs that second 1, active requests: 0
30.06.2013 19:21:35: second 244, jobs that second 4, active requests: 0
30.06.2013 19:21:36: second 245, jobs that second 1, active requests: 2
30.06.2013 19:21:37: second 246, jobs that second 0, active requests: 0
30.06.2013 19:21:38: second 247, jobs that second 1, active requests: 0
30.06.2013 19:21:39: second 248, jobs that second 1, active requests: 0
30.06.2013 19:21:40: second 249, jobs that second 1, active requests: 0
30.06.2013 19:21:41: second 250, jobs that second 1, active requests: 0
30.06.2013 19:21:42: second 251, jobs that second 1, active requests: 0
30.06.2013 19:21:43: second 252, jobs that second 0, active requests: 0
30.06.2013 19:21:44: second 253, jobs that second 0, active requests: 0
30.06.2013 19:21:45: second 254, jobs that second 1, active requests: 0
30.06.2013 19:21:46: second 255, jobs that second 2, active requests: 1
30.06.2013 19:21:47: second 256, jobs that second 1, active requests: 1
30.06.2013 19:21:48: second 257, jobs that second 0, active requests: 0
30.06.2013 19:21:49: second 258, jobs that second 0, active requests: 0
30.06.2013 19:21:50: second 259, jobs that second 2, active requests: 0
30.06.2013 19:21:51: second 260, jobs that second 2, active requests: 0
30.06.2013 19:21:52: second 261, jobs that second 1, active requests: 0
30.06.2013 19:21:53: second 262, jobs that second 0, active requests: 0
30.06.2013 19:21:54: second 263, jobs that second 2, active requests: 0
30.06.2013 19:21:55: second 264, jobs that second 1, active requests: 1
30.06.2013 19:21:56: second 265, jobs that second 1, active requests: 1
30.06.2013 19:21:57: second 266, jobs that second 1, active requests: 0
30.06.2013 19:21:58: second 267, jobs that second 1, active requests: 0
30.06.2013 19:21:59: second 268, jobs that second 0, active requests: 0
30.06.2013 19:22:00: second 269, jobs that second 1, active requests: 0
30.06.2013 19:22:01: second 270, jobs that second 0, active requests: 0
30.06.2013 19:22:02: second 271, jobs that second 0, active requests: 0
30.06.2013 19:22:03: second 272, jobs that second 0, active requests: 0
30.06.2013 19:22:04: second 273, jobs that second 0, active requests: 0
30.06.2013 19:22:05: second 274, jobs that second 0, active requests: 0
30.06.2013 19:22:06: second 275, jobs that second 2, active requests: 0
30.06.2013 19:22:07: second 276, jobs that second 1, active requests: 0
30.06.2013 19:22:08: second 277, jobs that second 1, active requests: 1
30.06.2013 19:22:09: second 278, jobs that second 1, active requests: 0
30.06.2013 19:22:10: second 279, jobs that second 2, active requests: 1
30.06.2013 19:22:11: second 280, jobs that second 4, active requests: 1
30.06.2013 19:22:12: second 281, jobs that second 1, active requests: 0
30.06.2013 19:22:13: second 282, jobs that second 0, active requests: 1
30.06.2013 19:22:14: second 283, jobs that second 1, active requests: 0
30.06.2013 19:22:15: second 284, jobs that second 0, active requests: 0
30.06.2013 19:22:16: second 285, jobs that second 2, active requests: 0
30.06.2013 19:22:17: second 286, jobs that second 0, active requests: 1
30.06.2013 19:22:18: second 287, jobs that second 2, active requests: 0
30.06.2013 19:22:19: second 288, jobs that second 1, active requests: 1
30.06.2013 19:22:20: second 289, jobs that second 0, active requests: 0
30.06.2013 19:22:21: second 290, jobs that second 1, active requests: 0
30.06.2013 19:22:22: second 291, jobs that second 1, active requests: 0
30.06.2013 19:22:23: second 292, jobs that second 1, active requests: 0
30.06.2013 19:22:24: second 293, jobs that second 1, active requests: 1
30.06.2013 19:22:25: second 294, jobs that second 1, active requests: 0
30.06.2013 19:22:26: second 295, jobs that second 1, active requests: 1
30.06.2013 19:22:27: second 296, jobs that second 0, active requests: 0
30.06.2013 19:22:28: second 297, jobs that second 1, active requests: 0
30.06.2013 19:22:29: second 298, jobs that second 0, active requests: 1
30.06.2013 19:22:30: second 299, jobs that second 1, active requests: 0
30.06.2013 19:22:31: second 300, jobs that second 2, active requests: 0
30.06.2013 19:22:32: second 301, jobs that second 0, active requests: 0
30.06.2013 19:22:33: second 302, jobs that second 0, active requests: 0
30.06.2013 19:22:34: second 303, jobs that second 0, active requests: 0
30.06.2013 19:22:35: second 304, jobs that second 0, active requests: 0
30.06.2013 19:22:36: second 305, jobs that second 1, active requests: 0
30.06.2013 19:22:37: second 306, jobs that second 0, active requests: 0
30.06.2013 19:22:38: second 307, jobs that second 1, active requests: 0
30.06.2013 19:22:39: second 308, jobs that second 0, active requests: 0
30.06.2013 19:22:40: second 309, jobs that second 1, active requests: 0
30.06.2013 19:22:41: second 310, jobs that second 1, active requests: 0
30.06.2013 19:22:42: second 311, jobs that second 2, active requests: 1
30.06.2013 19:22:43: second 312, jobs that second 0, active requests: 1
30.06.2013 19:22:44: second 313, jobs that second 1, active requests: 0
30.06.2013 19:22:45: second 314, jobs that second 1, active requests: 0
30.06.2013 19:22:46: second 315, jobs that second 0, active requests: 0
30.06.2013 19:22:47: second 316, jobs that second 1, active requests: 0
30.06.2013 19:22:48: second 317, jobs that second 1, active requests: 0
30.06.2013 19:22:49: second 318, jobs that second 0, active requests: 0
30.06.2013 19:22:50: second 319, jobs that second 1, active requests: 0
30.06.2013 19:22:51: second 320, jobs that second 1, active requests: 0
30.06.2013 19:22:52: second 321, jobs that second 0, active requests: 0
30.06.2013 19:22:53: second 322, jobs that second 0, active requests: 0
30.06.2013 19:22:54: second 323, jobs that second 1, active requests: 0
30.06.2013 19:22:55: second 324, jobs that second 1, active requests: 1
30.06.2013 19:22:56: second 325, jobs that second 1, active requests: 0
30.06.2013 19:22:57: second 326, jobs that second 1, active requests: 1
30.06.2013 19:22:58: second 327, jobs that second 1, active requests: 0
30.06.2013 19:22:59: second 328, jobs that second 3, active requests: 0
30.06.2013 19:23:00: second 329, jobs that second 1, active requests: 0
30.06.2013 19:23:01: second 330, jobs that second 0, active requests: 0
30.06.2013 19:23:02: second 331, jobs that second 1, active requests: 0
30.06.2013 19:23:03: second 332, jobs that second 1, active requests: 1
30.06.2013 19:23:04: second 333, jobs that second 2, active requests: 0
30.06.2013 19:23:05: second 334, jobs that second 1, active requests: 1
30.06.2013 19:23:06: second 335, jobs that second 1, active requests: 0
30.06.2013 19:23:07: second 336, jobs that second 0, active requests: 0
30.06.2013 19:23:08: second 337, jobs that second 2, active requests: 0
30.06.2013 19:23:09: second 338, jobs that second 1, active requests: 0
30.06.2013 19:23:10: second 339, jobs that second 0, active requests: 0
30.06.2013 19:23:11: second 340, jobs that second 0, active requests: 0
30.06.2013 19:23:12: second 341, jobs that second 0, active requests: 0
30.06.2013 19:23:13: second 342, jobs that second 1, active requests: 0
30.06.2013 19:23:14: second 343, jobs that second 4, active requests: 1
30.06.2013 19:23:15: second 344, jobs that second 0, active requests: 1
30.06.2013 19:23:16: second 345, jobs that second 0, active requests: 0
30.06.2013 19:23:17: second 346, jobs that second 0, active requests: 0
30.06.2013 19:23:18: second 347, jobs that second 1, active requests: 0
30.06.2013 19:23:19: second 348, jobs that second 1, active requests: 0
30.06.2013 19:23:20: second 349, jobs that second 0, active requests: 0
30.06.2013 19:23:21: second 350, jobs that second 1, active requests: 0
30.06.2013 19:23:22: second 351, jobs that second 1, active requests: 0
30.06.2013 19:23:23: second 352, jobs that second 2, active requests: 0
30.06.2013 19:23:24: second 353, jobs that second 0, active requests: 1
30.06.2013 19:23:25: second 354, jobs that second 0, active requests: 0
30.06.2013 19:23:26: second 355, jobs that second 0, active requests: 0
30.06.2013 19:23:27: second 356, jobs that second 0, active requests: 0
30.06.2013 19:23:28: second 357, jobs that second 0, active requests: 0
30.06.2013 19:23:29: second 358, jobs that second 2, active requests: 0
30.06.2013 19:23:30: second 359, jobs that second 1, active requests: 1
30.06.2013 19:23:31: second 360, jobs that second 2, active requests: 1
30.06.2013 19:23:32: second 361, jobs that second 2, active requests: 0
30.06.2013 19:23:33: second 362, jobs that second 0, active requests: 0
30.06.2013 19:23:34: second 363, jobs that second 2, active requests: 0
30.06.2013 19:23:35: second 364, jobs that second 2, active requests: 1
30.06.2013 19:23:36: second 365, jobs that second 1, active requests: 1
30.06.2013 19:23:37: second 366, jobs that second 0, active requests: 1
30.06.2013 19:23:38: second 367, jobs that second 2, active requests: 0
30.06.2013 19:23:39: second 368, jobs that second 2, active requests: 0
30.06.2013 19:23:40: second 369, jobs that second 0, active requests: 0
30.06.2013 19:23:41: second 370, jobs that second 0, active requests: 0
30.06.2013 19:23:42: second 371, jobs that second 1, active requests: 0
30.06.2013 19:23:43: second 372, jobs that second 0, active requests: 0
30.06.2013 19:23:44: second 373, jobs that second 0, active requests: 0
30.06.2013 19:23:45: second 374, jobs that second 0, active requests: 0
30.06.2013 19:23:46: second 375, jobs that second 1, active requests: 0
30.06.2013 19:23:47: second 376, jobs that second 0, active requests: 0
30.06.2013 19:23:48: second 377, jobs that second 0, active requests: 0
30.06.2013 19:23:49: second 378, jobs that second 0, active requests: 0
30.06.2013 19:23:50: second 379, jobs that second 2, active requests: 0
30.06.2013 19:23:51: second 380, jobs that second 1, active requests: 1
30.06.2013 19:23:52: second 381, jobs that second 2, active requests: 1
30.06.2013 19:23:53: second 382, jobs that second 2, active requests: 0
30.06.2013 19:23:54: second 383, jobs that second 2, active requests: 0
30.06.2013 19:23:55: second 384, jobs that second 1, active requests: 0
30.06.2013 19:23:56: second 385, jobs that second 1, active requests: 1
30.06.2013 19:23:57: second 386, jobs that second 0, active requests: 0
30.06.2013 19:23:58: second 387, jobs that second 1, active requests: 0
30.06.2013 19:23:59: second 388, jobs that second 2, active requests: 1
30.06.2013 19:24:00: second 389, jobs that second 0, active requests: 0
30.06.2013 19:24:01: second 390, jobs that second 2, active requests: 0
30.06.2013 19:24:02: second 391, jobs that second 1, active requests: 0
30.06.2013 19:24:03: second 392, jobs that second 0, active requests: 0
30.06.2013 19:24:04: second 393, jobs that second 1, active requests: 0
30.06.2013 19:24:05: second 394, jobs that second 1, active requests: 0
30.06.2013 19:24:06: second 395, jobs that second 2, active requests: 1
30.06.2013 19:24:07: second 396, jobs that second 0, active requests: 1
30.06.2013 19:24:08: second 397, jobs that second 0, active requests: 0
30.06.2013 19:24:09: second 398, jobs that second 1, active requests: 0
30.06.2013 19:24:10: second 399, jobs that second 3, active requests: 0
30.06.2013 19:24:11: second 400, jobs that second 2, active requests: 0
30.06.2013 19:24:12: second 401, jobs that second 0, active requests: 0
30.06.2013 19:24:13: second 402, jobs that second 2, active requests: 0
30.06.2013 19:24:14: second 403, jobs that second 3, active requests: 1
30.06.2013 19:24:15: second 404, jobs that second 2, active requests: 1
30.06.2013 19:24:16: second 405, jobs that second 3, active requests: 0
30.06.2013 19:24:17: second 406, jobs that second 1, active requests: 1
30.06.2013 19:24:18: second 407, jobs that second 1, active requests: 0
30.06.2013 19:24:19: second 408, jobs that second 0, active requests: 1
30.06.2013 19:24:20: second 409, jobs that second 3, active requests: 0
30.06.2013 19:24:21: second 410, jobs that second 1, active requests: 1
30.06.2013 19:24:22: second 411, jobs that second 1, active requests: 0
30.06.2013 19:24:23: second 412, jobs that second 3, active requests: 0
30.06.2013 19:24:24: second 413, jobs that second 5, active requests: 1
30.06.2013 19:24:25: second 414, jobs that second 3, active requests: 2
30.06.2013 19:24:26: second 415, jobs that second 1, active requests: 0
30.06.2013 19:24:27: second 416, jobs that second 2, active requests: 0
30.06.2013 19:24:28: second 417, jobs that second 2, active requests: 1
30.06.2013 19:24:29: second 418, jobs that second 1, active requests: 1
30.06.2013 19:24:30: second 419, jobs that second 0, active requests: 0
30.06.2013 19:24:31: second 420, jobs that second 1, active requests: 0
30.06.2013 19:24:32: second 421, jobs that second 0, active requests: 0
30.06.2013 19:24:33: second 422, jobs that second 1, active requests: 0
30.06.2013 19:24:34: second 423, jobs that second 1, active requests: 0
30.06.2013 19:24:35: second 424, jobs that second 0, active requests: 0
30.06.2013 19:24:36: second 425, jobs that second 0, active requests: 0
30.06.2013 19:24:37: second 426, jobs that second 0, active requests: 0
30.06.2013 19:24:38: second 427, jobs that second 2, active requests: 0
30.06.2013 19:24:39: second 428, jobs that second 0, active requests: 1
30.06.2013 19:24:40: second 429, jobs that second 1, active requests: 0
30.06.2013 19:24:41: second 430, jobs that second 1, active requests: 0
30.06.2013 19:24:42: second 431, jobs that second 1, active requests: 1
30.06.2013 19:24:43: second 432, jobs that second 0, active requests: 0
30.06.2013 19:24:44: second 433, jobs that second 1, active requests: 0
